Generator loss,Critic loss,Gradient Penalty loss
-1.1564598,-3.2415905,0.8602414
3.4689476,-4.7129297,0.8807968
2.7054572,-4.1565104,0.72550875
0.8498969,-3.4701173,0.70978934
-1.5262939,-2.9922829,0.6026264
-2.8288078,-3.5395603,0.7658615
1.3724664,-3.5534508,0.8506956
-0.49333936,-3.0120625,0.61320525
2.8325849,-2.5037467,0.88163084
-1.2539818,-2.2135305,0.64304626
-0.2446189,-1.70414,0.78047854
1.0080462,-1.2675065,1.3184347
-0.17912543,-1.036802,0.40735176
-0.45142347,-0.9674051,0.3685369
-1.3131766,-1.1612545,0.43709412
1.4541647,-1.0470836,0.36804563
-2.1127887,-0.5797173,0.6132965
0.037688255,-1.0115929,0.5987982
-2.037908,-1.2377008,0.4069397
-3.9718802,-0.9116936,0.789398
1.9592259,-1.0374515,0.513987
-0.43760774,-1.50795,0.44224963
-1.085935,-1.3915762,0.57681453
1.8584571,-1.728961,0.4508114
-0.34174103,-1.3260849,0.48891208
1.0922155,-1.0074267,0.41384038
-1.8589294,-1.3575878,0.7369454
-1.8299817,-1.485928,0.6237117
2.7954977,-1.9591283,0.6241051
1.2512999,-1.5190887,0.65790784
4.664175,-1.9545139,0.50172615
0.8051085,-1.5213718,0.6367688
2.8867054,-1.5186905,0.5318837
-0.37544802,-2.2075222,0.5031452
4.7321734,-1.8181492,0.40384167
2.08125,-1.9958012,0.45406505
2.4659672,-1.4362751,0.70717555
1.4360255,-1.3968525,0.5282099
1.93754,-1.3980074,0.47903633
3.1684656,-1.3512504,0.7079558
3.1363616,-1.488183,0.64302325
2.9878318,-1.2818604,0.45908725
-0.20162122,-1.3343005,0.6211503
2.1824276,-1.304449,0.51287895
1.220741,-1.2944626,0.29265463
2.6839857,-1.3041729,0.3508493
2.7410076,-1.2501715,0.37003154
-1.9743217,-1.4755528,0.45482093
3.533689,-1.4208134,0.37024125
1.3271675,-1.2082589,0.6338432
2.3653772,-1.4393917,0.4915869
-2.5864146,-1.3715739,0.34803566
4.377146,-1.4182568,0.52475506
2.4041195,-1.5973419,0.3844898
2.875416,-1.1650894,0.4468382
2.044522,-1.1063086,0.33428335
2.9474978,-1.2483648,0.35119697
5.9052033,-1.5140026,0.31187427
3.5935907,-1.3512791,0.40262288
4.9404225,-1.4536704,0.32007524
-0.16817611,-0.9744731,0.37546396
5.7632,-1.118347,0.42577025
4.8225083,-1.18757,0.3911629
3.3326497,-1.3859022,0.33438364
2.2452242,-1.353959,0.342604
3.5834231,-1.2342542,0.5785711
3.6459997,-1.3056792,0.35228503
5.9753046,-1.1469331,0.3517504
4.096812,-1.2790321,0.29311457
1.8658663,-1.204052,0.28320006
4.210757,-1.143261,0.83055484
1.002414,-0.8325751,0.44569597
3.6013794,-1.383483,0.3214591
2.9301808,-1.344725,0.30980736
3.8126264,-1.1435653,0.32252234
4.5113535,-1.3398237,0.27305958
3.2299128,-1.2072606,0.3292982
-2.2302911,-1.2928395,0.32256597
2.0051832,-1.172996,0.25207564
2.6293287,-1.1016243,0.3778056
6.008348,-1.3611456,0.30053127
2.9629798,-1.1558084,0.31902122
3.078653,-1.227856,0.30025163
1.8272835,-0.72357863,0.22720884
1.5573683,-0.9082775,0.30741847
0.98268515,-0.98253006,0.24398437
2.4151585,-0.65377444,0.2571574
1.2950976,-0.7910475,0.17995568
1.1440432,-1.1009423,0.26659632
1.1417005,-0.9248314,0.3782338
4.13851,-0.66879684,0.23455004
3.7989244,-0.7412695,0.6778362
4.987192,-1.3558997,0.25463918
1.7856042,-1.0797771,0.28365615
1.5921171,-1.0206367,0.30914003
2.1275969,-1.03851,0.23718423
-0.13797331,-0.854435,0.18950167
-1.3280461,-0.9554851,0.26568726
2.1154478,-0.9404164,0.23047498
3.8629446,-1.2955271,0.26102072
4.2455688,-1.1668317,0.26104772
6.062337,-1.1368886,0.26081273
4.648605,-0.72132,0.23102751
1.7944276,-1.0143024,0.2567643
5.399393,-0.90552634,0.21880817
3.4803615,-1.0129926,0.20436838
2.3133073,-0.86263734,0.179122
4.901381,-0.98760486,0.29303315
3.3208587,-0.77991545,0.48054883
4.8164563,-0.9504018,0.19240768
5.4168077,-1.2401515,0.2777774
